time_us,reduced_photon_number,full_meanfield_photon_number
6.759999999999998899e+00,2.829307124571461713e+02,2.829098628322332161e+02
6.764999999999998792e+00,2.984253048308123084e+02,2.984032872526059919e+02
6.769999999999998685e+00,3.147948241799481366e+02,3.147716167805378973e+02
6.774999999999998579e+00,3.320645974245454113e+02,3.320401250965340409e+02
6.779999999999998472e+00,3.502572840466995103e+02,3.502315979657964249e+02
6.784999999999999254e+00,3.693919597319688819e+02,3.693650908499005254e+02
6.789999999999999147e+00,3.894830755507459230e+02,3.894550458001386914e+02
6.794999999999999041e+00,4.105392950356421125e+02,4.105101148690642390e+02
6.799999999999998934e+00,4.325622007848775183e+02,4.325318797885093431e+02
6.804999999999998828e+00,4.555448828977562243e+02,4.555134690098718693e+02
6.809999999999999609e+00,4.794704078809213570e+02,4.794379738232805721e+02
6.814999999999999503e+00,5.043101930442046523e+02,5.042768278534095998e+02
